date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:56:48	22558/22558	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/sport.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/sport.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:49	22601/22601	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:15%20GMT	https://templates.envytheme.com/depan/default/culture.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/culture.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:51	25903/25903	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/video.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/video.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:51	26861/26861	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:17%20GMT	https://templates.envytheme.com/depan/default/news.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:52	26892/26892	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:17%20GMT	https://templates.envytheme.com/depan/default/news-right-sidebar.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-right-sidebar.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:53	26898/26898	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:17%20GMT	https://templates.envytheme.com/depan/default/news-left-sidebar.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-left-sidebar.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:54	17886/17886	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:17%20GMT	https://templates.envytheme.com/depan/default/news-without-sidebar.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-without-sidebar.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:55	24846/24846	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:16%20GMT	https://templates.envytheme.com/depan/default/news-details-1.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-details-1.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:55	24971/24971	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:16%20GMT	https://templates.envytheme.com/depan/default/news-details-2.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-details-2.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:55	19619/19619	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:17%20GMT	https://templates.envytheme.com/depan/default/news-details-3.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/news-details-3.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:56	27756/27756	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:14%20GMT	https://templates.envytheme.com/depan/default/author.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/author.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:56	15879/15879	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:14%20GMT	https://templates.envytheme.com/depan/default/about-us.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/about-us.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:57	14664/14664	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/our-team.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/our-team.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:58	25914/25914	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:15%20GMT	https://templates.envytheme.com/depan/default/fashion.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/fashion.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:58	23593/23593	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:15%20GMT	https://templates.envytheme.com/depan/default/entertainment.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/entertainment.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:59	26653/26653	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:16%20GMT	https://templates.envytheme.com/depan/default/lifestyle.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/lifestyle.html	(from https://templates.envytheme.com/depan/default/index.html)
12:56:59	26015/26015	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:16%20GMT	https://templates.envytheme.com/depan/default/international.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/international.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:00	12207/12207	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/register.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/register.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:00	11620/11620	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:15%20GMT	https://templates.envytheme.com/depan/default/error-404.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/error-404.html	(from https://templates.envytheme.com/depan/default/index.html)
12:57:01	16470/16470	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2012:29:18%20GMT	https://templates.envytheme.com/depan/default/terms-of-service.html	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/terms-of-service.html	(from https://templates.envytheme.com/depan/default/index.html)
